citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
70 FR 1145, 05-306,1156,https://www.federalregister.gov/documents/2005/01/05/05-306/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2005-01-05/pdf/05-306.pdf,Presidential Document,Executive Order,01/05/2005,12/30/2004,1145,Adjustments of Certain Rates of Pay,"Supersedes: EO 13332, March 3, 2004; Superseded by: EO 13393, December 22, 2005",13368
69 FR 77605, 04-28404,77605,https://www.federalregister.gov/documents/2004/12/27/04-28404/united-states-mexico-border-health-commission,https://www.govinfo.gov/content/pkg/FR-2004-12-27/pdf/04-28404.pdf,Presidential Document,Executive Order,12/27/2004,12/21/2004,77605,United States-Mexico Border Health Commission,"",13367
69 FR 76589, 04-28079,76593,https://www.federalregister.gov/documents/2004/12/21/04-28079/committee-on-ocean-policy,https://www.govinfo.gov/content/pkg/FR-2004-12-21/pdf/04-28079.pdf,Presidential Document,Executive Order,12/21/2004,12/17/2004,76589,Committee on Ocean Policy,"Revoked by: EO 13547, July 19, 2010",13366
69 FR 71331, 04-27076,71338,https://www.federalregister.gov/documents/2004/12/08/04-27076/2004-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2004-12-08/pdf/04-27076.pdf,Presidential Document,Executive Order,12/08/2004,12/03/2004,71331,"2004 Amendments to the Manual for Courts-Martial, United States","Amends: EO 12473, April 13, 1984",13365
69 FR 70171, 04-26684,70173,https://www.federalregister.gov/documents/2004/12/02/04-26684/designation-of-additional-officers-for-the-department-of-homeland-security-order-of-succession,https://www.govinfo.gov/content/pkg/FR-2004-12-02/pdf/04-26684.pdf,Presidential Document,Executive Order,12/02/2004,11/29/2004,70171,Designation of Additional Officers for the Department of Homeland Security Order of Succession,"Revoked by: EO 13442, August 13, 2007; See: EO 13286, February 28, 2003",13362
69 FR 70175, 04-26685,70176,https://www.federalregister.gov/documents/2004/12/02/04-26685/establishing-the-afghanistan-and-iraq-campaign-medals,https://www.govinfo.gov/content/pkg/FR-2004-12-02/pdf/04-26685.pdf,Presidential Document,Executive Order,12/02/2004,11/29/2004,70175,Establishing the Afghanistan and Iraq Campaign Medals,"See: EO 13289, March 12, 2003",13363
69 FR 70177, 04-26686,70178,https://www.federalregister.gov/documents/2004/12/02/04-26686/modifying-the-protection-granted-to-the-development-fund-for-iraq-and-certain-property-in-which-iraq,https://www.govinfo.gov/content/pkg/FR-2004-12-02/pdf/04-26686.pdf,Presidential Document,Executive Order,12/02/2004,11/29/2004,70177,Modifying the Protection Granted to the Development Fund for Iraq and Certain Property in Which Iraq Has an Interest and Protecting the Central Bank of Iraq,"Amends: EO 13303, May 22, 2003; See: EO 13315, August 28, 2003; EO 13350, July 29, 2004; EO 13438, July 17, 2007; Notice of May 19, 2005; Notice of May 18, 2006; Notice of May 18, 2007; Notice of May 20, 2008; Notice of May 19, 2009; Notice of May 12, 2010",13364
69 FR 67633, 04-25866,67634,https://www.federalregister.gov/documents/2004/11/19/04-25866/assignment-of-functions-under-the-united-states-leadership-against-hivaids-tuberculosis-and-malaria,https://www.govinfo.gov/content/pkg/FR-2004-11-19/pdf/04-25866.pdf,Presidential Document,Executive Order,11/19/2004,11/16/2004,67633,"Assignment of Functions Under the United States Leadership Against HIV/AIDS, Tuberculosis, and Malaria Act of 2003","Amends: EO 12163, September 29, 1979",13361
69 FR 62547, 04-24098,62551,https://www.federalregister.gov/documents/2004/10/26/04-24098/providing-opportunities-for-service-disabled-veteran-businesses-to-increase-their-federal,https://www.govinfo.gov/content/pkg/FR-2004-10-26/pdf/04-24098.pdf,Presidential Document,Executive Order,10/26/2004,10/20/2004,62547,Providing Opportunities for Service-Disabled Veteran Businesses To Increase Their Federal Contracting and Subcontracting,"",13360
69 FR 62391, 04-23994,62391,https://www.federalregister.gov/documents/2004/10/25/04-23994/amendment-to-executive-order-13173-interagency-task-force-on-the-economic-development-of-the-central,https://www.govinfo.gov/content/pkg/FR-2004-10-25/pdf/04-23994.pdf,Presidential Document,Executive Order,10/25/2004,10/20/2004,62391,"Amendment to Executive Order 13173, Interagency Task Force on the Economic Development of the Central San Joaquin Valley","Amends: EO 13173, October 25, 2000",13359
69 FR 58795, 04-22212,58798,https://www.federalregister.gov/documents/2004/09/30/04-22212/assignment-of-functions-relating-to-certain-appointments-promotions-and-commissions-in-the-armed,https://www.govinfo.gov/content/pkg/FR-2004-09-30/pdf/04-22212.pdf,Presidential Document,Executive Order,09/30/2004,09/28/2004,58795,"Assignment of Functions Relating to Certain Appointments, Promotions, and Commissions in the Armed Forces","",13358
